Entity,Continents,Code,Year,"Cardiovascular diseases per 100,000 people, in both sexes aged all ages"
Bahrain,Asia,BHR,1997,284.2831
Bahrain,Asia,BHR,1998,232.76192
Bahrain,Asia,BHR,1999,233.23648
Bahrain,Asia,BHR,2000,219.77643
Bahrain,Asia,BHR,2001,210.20467
Bahrain,Asia,BHR,2002,214.20526
Bahrain,Asia,BHR,2003,248.76419
Bahrain,Asia,BHR,2004,217.85052
Bahrain,Asia,BHR,2005,153.15858
Bahrain,Asia,BHR,2006,141.33043
Bahrain,Asia,BHR,2007,136.93015
Bahrain,Asia,BHR,2008,137.42453
Bahrain,Asia,BHR,2009,129.50404
Bahrain,Asia,BHR,2010,166.06796
Bahrain,Asia,BHR,2011,168.31404
Bahrain,Asia,BHR,2012,166.51326
Bahrain,Asia,BHR,2013,158.1471
Bahrain,Asia,BHR,2014,120.86789
Barbados,North America,BRB,1960,403.24478
Barbados,North America,BRB,1961,518.8588
Barbados,North America,BRB,1962,452.2254
Barbados,North America,BRB,1963,430.41663
Barbados,North America,BRB,1964,438.44672
Barbados,North America,BRB,1966,394.99844
Barbados,North America,BRB,1967,381.30115
Barbados,North America,BRB,1968,388.3065
Barbados,North America,BRB,1969,367.79865
Barbados,North America,BRB,1970,388.63333
Barbados,North America,BRB,1971,419.81842
Barbados,North America,BRB,1972,425.09943
Barbados,North America,BRB,1973,403.00458
Barbados,North America,BRB,1974,421.02023
Barbados,North America,BRB,1975,439.52536
Barbados,North America,BRB,1976,416.06662
Barbados,North America,BRB,1977,363.22144
Barbados,North America,BRB,1978,352.43256
Barbados,North America,BRB,1979,386.72574
Barbados,North America,BRB,1980,367.8128
Barbados,North America,BRB,1981,328.62082
Barbados,North America,BRB,1982,274.23593
Barbados,North America,BRB,1983,292.79547
Barbados,North America,BRB,1984,296.35776
Barbados,North America,BRB,1985,313.13443
Barbados,North America,BRB,1986,280.9642
Barbados,North America,BRB,1987,273.91425
Barbados,North America,BRB,1988,275.06253
Barbados,North America,BRB,1989,267.45416
Barbados,North America,BRB,1990,245.96376
Barbados,North America,BRB,1991,234.8456
Barbados,North America,BRB,1992,250.19652
Barbados,North America,BRB,1993,243.0467
Barbados,North America,BRB,1994,250.54546
Barbados,North America,BRB,1995,243.99928
Barbados,North America,BRB,2000,192.03613
Barbados,North America,BRB,2001,123.41746
Barbados,North America,BRB,2002,153.4317
Barbados,North America,BRB,2003,182.96321
Barbados,North America,BRB,2004,142.975
Barbados,North America,BRB,2005,140.30847
Barbados,North America,BRB,2006,142.79459
Barbados,North America,BRB,2007,149.74908
Barbados,North America,BRB,2008,151.4941
Barbados,North America,BRB,2009,142.41075
Barbados,North America,BRB,2010,127.46825
Barbados,North America,BRB,2011,135.39642
Barbados,North America,BRB,2012,124.58909
Barbados,North America,BRB,2013,136.90005
Belarus,Europe,BLR,1981,430.78592
Belarus,Europe,BLR,1982,432.73544
Belarus,Europe,BLR,1985,492.17438
Belarus,Europe,BLR,1986,446.29984
Belarus,Europe,BLR,1987,457.02924
Belarus,Europe,BLR,1988,453.78506
Belarus,Europe,BLR,1989,426.3481
Belarus,Europe,BLR,1990,411.04684
Belarus,Europe,BLR,1991,410.1991
Belarus,Europe,BLR,1992,405.884
Belarus,Europe,BLR,1993,460.82224
Belarus,Europe,BLR,1994,463.2722
Belarus,Europe,BLR,1995,471.4839
Belarus,Europe,BLR,1996,526.33936
Belarus,Europe,BLR,1997,483.05038
Belarus,Europe,BLR,1998,495.27243
Belarus,Europe,BLR,1999,525.20764
Belarus,Europe,BLR,2000,498.23938
Belarus,Europe,BLR,2001,524.78625
Belarus,Europe,BLR,2002,535.832
Belarus,Europe,BLR,2003,526.0676
Belarus,Europe,BLR,2007,447.37866
Belarus,Europe,BLR,2008,445.19748
Belarus,Europe,BLR,2009,455.19818
Belarus,Europe,BLR,2010,458.2694
Belarus,Europe,BLR,2011,434.4543
Belarus,Europe,BLR,2013,394.8182
Belarus,Europe,BLR,2014,395.3987
Belarus,Europe,BLR,2018,374.85355
Belgium,Europe,BEL,1954,358.9636
Belgium,Europe,BEL,1955,362.29227
Belgium,Europe,BEL,1956,364.0638
Belgium,Europe,BEL,1957,349.95038
Belgium,Europe,BEL,1958,346.43726
Belgium,Europe,BEL,1959,340.08145
Belgium,Europe,BEL,1960,367.447
Belgium,Europe,BEL,1961,354.2241
Belgium,Europe,BEL,1962,400.95587
Belgium,Europe,BEL,1963,422.4776
Belgium,Europe,BEL,1964,386.25668
Belgium,Europe,BEL,1965,406.3532
Belgium,Europe,BEL,1966,383.1
Belgium,Europe,BEL,1967,390.4405
Belgium,Europe,BEL,1968,406.89532
Belgium,Europe,BEL,1969,380.6269
Belgium,Europe,BEL,1970,371.72095
Belgium,Europe,BEL,1971,369.60654
Belgium,Europe,BEL,1972,357.2144
Belgium,Europe,BEL,1973,346.8209
Belgium,Europe,BEL,1974,342.67575
Belgium,Europe,BEL,1975,343.6607
Belgium,Europe,BEL,1976,333.4592
Belgium,Europe,BEL,1977,309.62262
Belgium,Europe,BEL,1978,309.6122
Belgium,Europe,BEL,1979,304.46512
Belgium,Europe,BEL,1980,309.8522
Belgium,Europe,BEL,1981,306.35135
Belgium,Europe,BEL,1982,300.4351
Belgium,Europe,BEL,1983,300.27768
Belgium,Europe,BEL,1984,280.80167
Belgium,Europe,BEL,1985,269.7577
Belgium,Europe,BEL,1986,256.25735
Belgium,Europe,BEL,1987,237.99896
Belgium,Europe,BEL,1988,227.56454
Belgium,Europe,BEL,1989,222.40886
Belgium,Europe,BEL,1990,212.35492
Belgium,Europe,BEL,1991,205.6404
Belgium,Europe,BEL,1992,199.29042
Belgium,Europe,BEL,1993,205.7175
Belgium,Europe,BEL,1994,194.58472
Belgium,Europe,BEL,1995,191.74777
Belgium,Europe,BEL,1996,188.97003
Belgium,Europe,BEL,1997,182.44392
Belgium,Europe,BEL,1998,177.06024
Belgium,Europe,BEL,1999,172.40718
Belgium,Europe,BEL,2000,173.59244
Belgium,Europe,BEL,2001,164.27904
Belgium,Europe,BEL,2002,165.15546
Belgium,Europe,BEL,2003,162.822
Belgium,Europe,BEL,2004,152.66313
Belgium,Europe,BEL,2005,145.59904
Belgium,Europe,BEL,2006,134.45697
Belgium,Europe,BEL,2007,130.86119
Belgium,Europe,BEL,2008,126.94927
Belgium,Europe,BEL,2009,121.2675
Belgium,Europe,BEL,2010,117.09027
Belgium,Europe,BEL,2011,109.42321
Belgium,Europe,BEL,2012,107.25553
Belgium,Europe,BEL,2013,103.95497
Belgium,Europe,BEL,2014,97.005714
Belgium,Europe,BEL,2018,86.02336
Belgium,Europe,BEL,2017,90.822235
Belgium,Europe,BEL,2016,92.9712
Belgium,Europe,BEL,2015,99.18513
Belize,North America,BLZ,1964,226.70326
Belize,North America,BLZ,1965,234.62416
Belize,North America,BLZ,1966,168.58409
Belize,North America,BLZ,1967,227.48087
Belize,North America,BLZ,1968,211.1069
Belize,North America,BLZ,1969,178.90689
Belize,North America,BLZ,1970,231.85172
Belize,North America,BLZ,1971,166.07233
Belize,North America,BLZ,1972,178.54538
Belize,North America,BLZ,1973,194.38354
Belize,North America,BLZ,1974,200.3964
Belize,North America,BLZ,1975,196.7433
Belize,North America,BLZ,1976,215.16217
Belize,North America,BLZ,1977,162.20233
Belize,North America,BLZ,1978,205.19788
Belize,North America,BLZ,1979,210.66922
Belize,North America,BLZ,1980,311.8919
Belize,North America,BLZ,1982,300.9561
Belize,North America,BLZ,1983,251.0516
Belize,North America,BLZ,1984,291.59164
Belize,North America,BLZ,1986,174.13658
Belize,North America,BLZ,1987,180.68925
Belize,North America,BLZ,1989,234.7263
Belize,North America,BLZ,1990,197.3573
Belize,North America,BLZ,1991,224.85826
Belize,North America,BLZ,1993,238.5572
Belize,North America,BLZ,1994,219.13074
Belize,North America,BLZ,1995,228.88678
Belize,North America,BLZ,1996,210.3398
Belize,North America,BLZ,1997,254.01146
Belize,North America,BLZ,1998,280.19034
Belize,North America,BLZ,1999,250.66298
Belize,North America,BLZ,2000,518.6093
Belize,North America,BLZ,2001,233.4651
Belize,North America,BLZ,2002,240.07275
Belize,North America,BLZ,2003,261.64844
Belize,North America,BLZ,2004,251.94215
Belize,North America,BLZ,2005,257.59128
Belize,North America,BLZ,2006,246.64368
Belize,North America,BLZ,2007,232.13118
Belize,North America,BLZ,2008,195.60446
Belize,North America,BLZ,2009,229.047
Belize,North America,BLZ,2010,199.51877
Belize,North America,BLZ,2011,188.01442
Belize,North America,BLZ,2012,181.48393
Belize,North America,BLZ,2013,165.86606
Belize,North America,BLZ,2014,173.33582
Belize,North America,BLZ,2016,172.09563
Belize,North America,BLZ,2015,177.71635
Bosnia and Herzegovina,Europe,BIH,1985,346.19904
Bosnia and Herzegovina,Europe,BIH,1986,350.00586
Bosnia and Herzegovina,Europe,BIH,1987,393.62134
Bosnia and Herzegovina,Europe,BIH,1988,413.0299
Bosnia and Herzegovina,Europe,BIH,1989,429.2336
Bosnia and Herzegovina,Europe,BIH,1990,409.08145
Bosnia and Herzegovina,Europe,BIH,1991,402.26788
Bosnia and Herzegovina,Europe,BIH,2011,320.89944
Bosnia and Herzegovina,Europe,BIH,2014,279.22668
Bosnia and Herzegovina,Europe,BIH,2020,267.74307
Bosnia and Herzegovina,Europe,BIH,2019,251.92137
Bosnia and Herzegovina,Europe,BIH,2018,290.56927
Bosnia and Herzegovina,Europe,BIH,2017,300.38214
Bosnia and Herzegovina,Europe,BIH,2016,329.4472
Brazil,South America,BRA,1979,292.7915
Brazil,South America,BRA,1980,305.28775
Brazil,South America,BRA,1981,304.42712
Brazil,South America,BRA,1982,297.45218
Brazil,South America,BRA,1983,284.72266
Brazil,South America,BRA,1984,289.9095
Brazil,South America,BRA,1985,291.1925
Brazil,South America,BRA,1986,281.62222
Brazil,South America,BRA,1987,295.44678
Brazil,South America,BRA,1988,308.14194
Brazil,South America,BRA,1989,293.09818
Brazil,South America,BRA,1990,289.1401
Brazil,South America,BRA,1991,267.75134
Brazil,South America,BRA,1992,265.9614
Brazil,South America,BRA,1993,270.92206
Brazil,South America,BRA,1994,263.10516
Brazil,South America,BRA,1995,254.93999
Brazil,South America,BRA,1996,250.42896
Brazil,South America,BRA,1997,240.73041
Brazil,South America,BRA,1998,238.21744
Brazil,South America,BRA,1999,231.41632
